name,subtitle,shorthand,role,credits,year,media_path,media_feature,visible,category,blurb,tags,media_aspect,cover_media,cover_embed-or-image
G Train Animation,,,,,,,,TRUE,,I created an animation paying homage to the outgoing fleet of R46 New york City Subway cars while highlighting the use of the Dehancer film emulation plugin in a compositing use case. I made an Instagram reel,"cg animation, comp, blender, nuke",,,
Volvo Spec,,,,,,,,TRUE,,"I created an animated spec ad for Volvo's S90 line of plug-in hybrid sedans, focusing on the ability of the electric-hybrid powertrain to provide both power and comfort. I animated and rendered in Blender, with comping in Nuke. ","cg animation, cg comp, blender, nuke",,,
Apple Watch Areodynamics,,,,,,,,TRUE,,"A project I knocked out in about a weekend trying to get more familiar with Houdini. Fluid dynamic sim done in houdini, brought into blender for blocking and rendering. Then comped in Nuke and color graded in DaVinci Resolve.","r&d, simulation, houdini, blender, nuke",,,
360° Camera Tracking,,,,,,,,TRUE,,"An experiment where I came up with a method of resolving camera movement through the use of a synced, Insta360 X4 360° witness camera. I used Syntheyes to track and solve the shot, and line the two cameras up in virtual space in Blender. This is far from a perfect system though. In order to get anything useable the track has to be sub-pixel perfect. Insta360 press release[https://www.insta360.com/blog/creator-stories/insta360-vfx-reality-capture.html]","r&d, matchmove, syntheyes",,,
The Creator Laser,,,,,,,,TRUE,,"I created a scanning effect inspired by The Creator's laser effect. All done in comp using render passes. This example used a still frame render, but could also be done on live-action footage with an ai-generated depth pass.","r&d, comp, nuke",,,
Apple Spec Animations,,,,,,,,TRUE,,"Some practice with 3D product animation. Apple's industrial design always looks great on camera, so they make good subjects.",,,,
